ATP,Location,Tournament,Match Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,Match Start Time,Match Duration,Match End Time,Altitude (in m)
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,moutet,wu,62,114,790,494,6,4,5,7,6,2,4,6,7,5,3,2,Completed,2.38,1.57,2.4,1.65,2.4,1.66,2.33,1.61,11:10:00,04:14:00,15:24:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,watanuki,rinderknech,138,59,413,807,6,3,6,3,6,2,,,,,3,0,Completed,2.3,1.62,2.18,1.77,2.45,1.77,2.28,1.64,11:10:00,01:43:00,12:53:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,van de zandschulp,ivashka,34,73,1205,705,6,3,3,6,7,5,6,3,,,3,1,Completed,1.36,3.2,1.47,2.91,1.52,3.3,1.39,3.03,11:10:00,03:32:00,14:42:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,etcheverry,barrere,79,83,649,635,3,6,6,3,6,4,6,4,,,3,1,Completed,2.3,1.62,2.43,1.63,2.55,1.67,2.36,1.6,11:10:00,02:56:00,14:06:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,sinner,edmund,16,581,2375,52,6,4,6,0,6,2,,,,,3,0,Completed,1.06,10,1.05,15.72,1.07,15.72,1.05,11.18,11:10:00,01:56:00,13:06:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,cerundolo,pella,29,181,1383,318,6,4,6,4,6,3,,,,,3,0,Completed,1.13,6,1.17,6.06,1.2,6.06,1.15,5.58,11:10:00,02:06:00,13:16:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,shang,otte,194,74,289,701,6,2,6,4,6,7,7,5,,,3,1,Completed,2.75,1.44,2.86,1.48,3,1.5,2.79,1.44,11:10:00,02:56:00,14:06:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,hurkacz,martinez,11,60,2860,801,7,6,6,2,6,2,,,,,3,0,Completed,1.06,10,1.06,13.22,1.06,13.22,1.05,10.6,12:35:00,01:49:00,14:24:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,korda,garin,31,87,1325,606,6,4,1,6,6,3,6,2,,,3,1,Completed,1.08,8,1.1,9.05,1.11,9.25,1.08,8.1,12:45:00,02:34:00,15:19:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,nishioka,ymer,33,69,1212,751,6,4,6,2,7,5,,,,,3,0,Completed,1.91,1.91,2.02,1.88,2.04,2,1.94,1.86,12:50:00,02:18:00,15:08:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,shapovalov,lajovic,22,86,1830,626,6,4,4,6,6,4,6,1,,,3,1,Completed,1.08,8,1.09,9.82,1.1,9.82,1.08,8.01,12:55:00,02:23:00,15:18:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,griekspoor,kotov,63,117,789,483,6,3,7,6,6,3,,,,,3,0,Completed,1.36,3.2,1.42,3.1,1.42,3.4,1.37,3.13,13:10:00,02:09:00,15:19:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,mcdonald,nakashima,65,49,775,902,7,6,7,6,1,6,6,7,6,4,3,2,Completed,2.5,1.53,2.59,1.56,2.72,1.6,2.54,1.52,13:25:00,04:02:00,17:27:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,khachanov,zapata miralles,20,72,1885,712,7,6,6,2,6,0,,,,,3,0,Completed,1.07,9,1.06,13,1.09,13,1.06,9.77,14:25:00,02:02:00,16:27:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,tiafoe,altmaier,17,92,2260,584,6,3,6,3,6,7,7,6,,,3,1,Completed,1.1,7,1.1,8.65,1.12,8.65,1.1,7.19,14:35:00,03:19:00,17:54:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,nadal,draper,2,38,5770,1020,7,5,2,6,6,4,6,1,,,3,1,Completed,1.36,3.2,1.44,3.02,1.44,3.3,1.39,3.02,14:50:00,03:41:00,18:31:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,daniel,escobedo,94,313,572,163,7,5,6,2,3,6,6,3,,,3,1,Completed,1.57,2.38,1.57,2.57,1.63,2.57,1.57,2.43,15:10:00,03:14:00,18:24:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,sonego,borges,47,111,925,512,7,6,6,3,6,7,6,1,,,3,1,Completed,1.3,3.5,1.37,3.37,1.38,3.6,1.34,3.27,15:40:00,03:17:00,18:57:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,lehecka,coric,71,23,717,1760,6,3,6,3,6,3,,,,,3,0,Completed,3.2,1.36,3.34,1.38,3.34,1.39,3.2,1.35,15:40:00,02:13:00,17:53:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,kubler,baez,84,44,633,975,6,4,6,4,6,4,,,,,3,0,Completed,1.33,3.4,1.36,3.48,1.36,3.66,1.33,3.38,15:45:00,02:16:00,18:01:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,svrcina,munar,216,64,249,777,6,3,6,2,6,2,,,,,3,0,Completed,2.75,1.44,2.74,1.52,2.8,1.52,2.64,1.48,16:00:00,02:16:00,18:16:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,millman,huesler,140,51,410,866,6,7,7,5,6,7,6,2,6,3,3,2,Completed,2.2,1.67,2.25,1.72,2.3,1.78,2.18,1.69,16:10:00,04:05:00,20:15:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,eubanks,kwon,116,52,487,862,6,3,6,7,6,3,4,6,6,4,3,2,Completed,2.38,1.57,2.65,1.55,2.65,1.62,2.38,1.58,16:30:00,03:08:00,19:38:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,fucsovics,coria,78,76,687,695,4,6,7,5,2,6,7,6,6,2,3,2,Completed,1.14,5.5,1.17,5.96,1.22,6,1.16,5.38,16:45:00,04:17:00,21:02:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,molcan,wawrinka,53,139,850,412,6,7,6,3,1,6,7,6,6,4,3,2,Completed,3.75,1.29,3.89,1.3,4,1.31,3.7,1.28,17:10:00,04:22:00,21:32:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,hijikata,hanfmann,169,128,344,435,4,6,4,6,6,3,7,6,6,3,3,2,Completed,2,1.8,1.98,1.93,2.1,1.93,1.98,1.83,17:50:00,04:25:00,22:15:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,norrie,van assche,12,143,2680,403,7,6,6,0,6,3,,,,,3,0,Completed,1.06,10,1.07,11.47,1.09,11.47,1.06,9.17,18:20:00,02:22:00,20:42:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,auger aliassime,pospisil,7,99,3895,560,1,6,7,6,7,6,6,3,,,3,1,Completed,1.07,9,1.08,10.82,1.08,10.82,1.07,8.87,18:30:00,03:58:00,22:28:00,20.1
5,Melbourne,Australian Open 2023,16/01/2023,Grand Slam,Outdoor,Hard,1st Round,5,tsitsipas,halys,4,61,5715,800,6,3,6,4,7,6,,,,,3,0,Completed,1.14,5.5,1.14,6.96,1.18,6.96,1.14,5.69,19:10:00,02:00:00,21:10:00,20.1
