Unnamed: 0,Location,Tournament,Match Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,Match Start Time,Match Duration,Match End Time,Altitude (in m),Start DateTime,End DateTime,Max Temp,Min Temp,Avg Temp,Max Hum,Min Hum,Avg Hum,Max Wind,Min Wind,Avg Wind,Max Gust,Min Gust,Avg Gust,Freq Gust
112,Melbourne,Australian Open 2023,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,moutet,wu,62.0,114.0,790.0,494.0,6.0,4.0,5.0,7.0,6.0,2.0,4.0,6.0,7.0,5.0,3.0,2.0,Completed,2.38,1.57,2.4,1.65,2.4,1.66,2.33,1.61,11:10:00,04:14:00,15:24:00,20.1,2023-01-16 11:10:00,2023-01-16 15:24:00,35.7,23.1,30.7,52.0,30.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0
113,Melbourne,Australian Open 2023,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,watanuki,rinderknech,138.0,59.0,413.0,807.0,6.0,3.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,2.3,1.62,2.18,1.77,2.45,1.77,2.28,1.64,11:10:00,01:43:00,12:53:00,20.1,2023-01-16 11:10:00,2023-01-16 12:53:00,31.8,23.1,27.0,52.0,35.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0
114,Melbourne,Australian Open 2023,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,van de zandschulp,ivashka,34.0,73.0,1205.0,705.0,6.0,3.0,3.0,6.0,7.0,5.0,6.0,3.0,,,3.0,1.0,Completed,1.36,3.2,1.47,2.91,1.52,3.3,1.39,3.03,11:10:00,03:32:00,14:42:00,20.1,2023-01-16 11:10:00,2023-01-16 14:42:00,35.7,23.1,30.4,52.0,30.0,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0
115,Melbourne,Australian Open 2023,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,etcheverry,barrere,79.0,83.0,649.0,635.0,3.0,6.0,6.0,3.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,2.3,1.62,2.43,1.63,2.55,1.67,2.36,1.6,11:10:00,02:56:00,14:06:00,20.1,2023-01-16 11:10:00,2023-01-16 14:06:00,35.7,23.1,29.7,52.0,30.0,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0
116,Melbourne,Australian Open 2023,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,sinner,edmund,16.0,581.0,2375.0,52.0,6.0,4.0,6.0,0.0,6.0,2.0,,,,,3.0,0.0,Completed,1.06,10.0,1.05,15.72,1.07,15.72,1.05,11.18,11:10:00,01:56:00,13:06:00,20.1,2023-01-16 11:10:00,2023-01-16 13:06:00,32.9,23.1,27.7,52.0,33.0,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0
117,Melbourne,Australian Open 2023,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,cerundolo,pella,29.0,181.0,1383.0,318.0,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,1.13,6.0,1.17,6.06,1.2,6.06,1.15,5.58,11:10:00,02:06:00,13:16:00,20.1,2023-01-16 11:10:00,2023-01-16 13:16:00,34.3,23.1,28.3,52.0,31.0,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0
118,Melbourne,Australian Open 2023,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,shang,otte,194.0,74.0,289.0,701.0,6.0,2.0,6.0,4.0,6.0,7.0,7.0,5.0,,,3.0,1.0,Completed,2.75,1.44,2.86,1.48,3.0,1.5,2.79,1.44,11:10:00,02:56:00,14:06:00,20.1,2023-01-16 11:10:00,2023-01-16 14:06:00,35.7,23.1,29.7,52.0,30.0,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0
119,Melbourne,Australian Open 2023,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,hurkacz,martinez,11.0,60.0,2860.0,801.0,7.0,6.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,1.06,10.0,1.06,13.22,1.06,13.22,1.05,10.6,12:35:00,01:49:00,14:24:00,20.1,2023-01-16 12:35:00,2023-01-16 14:24:00,35.7,31.0,33.1,37.0,30.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0
120,Melbourne,Australian Open 2023,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,korda,garin,31.0,87.0,1325.0,606.0,6.0,4.0,1.0,6.0,6.0,3.0,6.0,2.0,,,3.0,1.0,Completed,1.08,8.0,1.1,9.05,1.11,9.25,1.08,8.1,12:45:00,02:34:00,15:19:00,20.1,2023-01-16 12:45:00,2023-01-16 15:19:00,35.7,30.1,33.1,40.0,30.0,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0
121,Melbourne,Australian Open 2023,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,nishioka,ymer,33.0,69.0,1212.0,751.0,6.0,4.0,6.0,2.0,7.0,5.0,,,,,3.0,0.0,Completed,1.91,1.91,2.02,1.88,2.04,2.0,1.94,1.86,12:50:00,02:18:00,15:08:00,20.1,2023-01-16 12:50:00,2023-01-16 15:08:00,35.7,31.0,33.4,37.0,30.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0
